Song Title,Artist,Genre,Profanity Lines,Sentiment Annotation (Natalie),Sentiment Annotation (Pragati)
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
give me all that SHIT 
cant get enough of you ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
i love that SHIT 
you know i cant get enough ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
you love that SHIT 
you know i cant get enough ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
give me all that SHIT 
cant get enough ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
i love that SHIT 
you know i cant get enough ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
you love that SHIT 
you know i cant get enough ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
give me all that SHIT 
cant get enough of you ",2,2
richbabydaddy,drake,hiphop,"is it 
bend that ASS over baow let that coochie breathe yeah 
shake that ass bitch hands on your knees ho ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees ho 
hands on your knees ho hands on your knees ow ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees ho 
hands on your knees ho hands on your knees ow ",2,2
richbabydaddy,drake,hiphop,"hands on your knees ho hands on your knees ow 
shake that ASS for drake yup now shake that ASS for me 
bend that ass over baow let that coochie breathe yeah ",2,2
richbabydaddy,drake,hiphop,"shake that ass for drake yup now shake that ass for me 
bend that ASS over baow let that coochie breathe yeah 
shake that ass bitch hands on your knees ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees 
hands on your knees hands on your knees ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees 
hands on your knees hands on your knees ",2,2
richbabydaddy,drake,hiphop,"hands on your knees hands on your knees 
shake that ASS for drake yeah now shake that ASS for me 
ayy i still got some love deep inside of me ",2,2
richbabydaddy,drake,hiphop,"im with red like im at a cincinnati game 
hood BITCH tat her gang fore she tat her name 
real bitch held me down fore i had a name ",2,2
richbabydaddy,drake,hiphop,"hood bitch tat her gang fore she tat her name 
real BITCH held me down fore i had a name 
heard theres money on my head what is that to me ",2,2
richbabydaddy,drake,hiphop,"the bend it over only time she turn her back on me for real 
bend that ASS over baow let that coochie breathe yeah 
shake that ass bitch hands on your knees ho ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees ho 
hands on your knees ho hands on your knees ow ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees ho 
hands on your knees ho hands on your knees ow ",2,2
richbabydaddy,drake,hiphop,"hands on your knees ho hands on your knees ow 
shake that ASS for drake yup now shake that ASS for me 
bend that ass over baow let that coochie breathe yeah ",2,2
richbabydaddy,drake,hiphop,"shake that ass for drake yup now shake that ass for me 
bend that ASS over baow let that coochie breathe yeah 
shake that ass bitch hands on your knees ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees 
hands on your knees hands on your knees ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees 
hands on your knees hands on your knees ",2,2
richbabydaddy,drake,hiphop,"hands on your knees hands on your knees 
shake that ASS for drake yeah now shake that ASS for me 
your man so good and you deserve that in your suffering ",2,2
richbabydaddy,drake,hiphop,"your man so good and you deserve that in your suffering 
i need a DICK and conversation can you cover me 
i had a feeling this is more than what we both say ",2,2
richbabydaddy,drake,hiphop,"feels good but it cant be love 
aint a DAMN thing that i do 
aint a damn thing oh ",2,2
richbabydaddy,drake,hiphop,"aint a damn thing that i do 
aint a DAMN thing oh 
bend that ass over ooh let that coochie breathe ooh ",2,2
richbabydaddy,drake,hiphop,"aint a damn thing oh 
bend that ASS over ooh let that coochie breathe ooh 
shake that ass bitch ooh hands on your knees ooh ",2,2
richbabydaddy,drake,hiphop,"bend that ass over ooh let that coochie breathe ooh 
shake that ASS BITCH ooh hands on your knees ooh 
hands on your knees all been there hands on your knees ",2,2
richbabydaddy,drake,hiphop,"bend that ass over ooh let that coochie breathe ooh 
shake that ASS BITCH ooh hands on your knees ooh 
hands on your knees all been there hands on your knees ",2,2
richbabydaddy,drake,hiphop,"hands on your knees all been there hands on your knees 
shake that ASS for drake uh now shake that ASS for me 
bend that ass over yeah let that coochie breathe yeah ",2,2
richbabydaddy,drake,hiphop,"shake that ass for drake uh now shake that ass for me 
bend that ASS over yeah let that coochie breathe yeah 
shake that ass bitch yeah hands on your knees hands on your ",2,2
richbabydaddy,drake,hiphop,"bend that ass over yeah let that coochie breathe yeah 
shake that ASS BITCH yeah hands on your knees hands on your 
hands on your knees hands on your hands on your knees yeah ",2,2
richbabydaddy,drake,hiphop,"bend that ass over yeah let that coochie breathe yeah 
shake that ASS BITCH yeah hands on your knees hands on your 
hands on your knees hands on your hands on your knees yeah ",2,2
richbabydaddy,drake,hiphop,"hands on your knees hands on your hands on your knees yeah 
shake that ASS for drake now shake that ASS for me shake shake shake 
you like my voice i turn you on ",2,2
richbabydaddy,drake,hiphop,"foreign trucks i pull up 
thirty inches to my BUTT 
nails done im fine as fuck ",2,2
richbabydaddy,drake,hiphop,"thirty inches to my butt 
nails done im fine as FUCK 
niggas tryna see whats up ",1,1
richbabydaddy,drake,hiphop,"nails done im fine as fuck 
NIGGAS tryna see whats up 
im lucky ",2,2
richbabydaddy,drake,hiphop,"im lucky 
bend that ASS over baow let that coochie breathe yeah 
shake that ass bitch hands on your knees ho ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees ho 
hands on your knees ho hands on your knees ow ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees ho 
hands on your knees ho hands on your knees ow ",2,2
richbabydaddy,drake,hiphop,"hands on your knees ho hands on your knees ow 
shake that ASS for drake yup now shake that ASS for me 
bend that ass over baow let that coochie breathe yeah ",2,2
richbabydaddy,drake,hiphop,"shake that ass for drake yup now shake that ass for me 
bend that ASS over baow let that coochie breathe yeah 
shake that ass bitch hands on your knees ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees 
hands on your knees hands on your knees ",2,2
richbabydaddy,drake,hiphop,"bend that ass over baow let that coochie breathe yeah 
shake that ASS BITCH hands on your knees 
hands on your knees hands on your knees ",2,2
richbabydaddy,drake,hiphop,"hands on your knees hands on your knees 
shake that ASS for drake yeah now shake that ASS for me 
you know the root of it ",2,2
richbabydaddy,drake,hiphop,"i see the future and i can see you in it 
girl im not stupid so dont play no stupid SHIT 
i swear poppin my shit come with consequences ",3,3
richbabydaddy,drake,hiphop,"girl im not stupid so dont play no stupid shit 
i swear poppin my SHIT come with consequences 
post nut clarity i came to my senses ",3,2
richbabydaddy,drake,hiphop,"and you know im 
we was FUCKIN night after night ill change your life 
you aint even know how to suck it right i taught you right ",2,2
houdini,eminem,hiphop,"uh i was listening to the album 
good FUCKING luck youre on your own 
guess whos back back again ",2,2
houdini,eminem,hiphop,"turned me into smiley face emoji 
my SHIT may not be age appropriâ 
ate but i will hit an eight year old in the face with a participation trophy ",2,2
houdini,eminem,hiphop,"mind bogglin how my profit has skyrocketed look what i pocketed 
yeah the SHIT is just like yall have been light joggin and ive been running at full speed 
and thats why im ahead like my noggin and im the fight yall get in ",2,2
houdini,eminem,hiphop,"when you debate who the best but ops im whitechalkin when 
i step up to that mic COCK it then 
oh my god its him not again ",2,2
houdini,eminem,hiphop,"sometimes i wonder what the old med say 
if what if he could see the way SHIT is today 
look at this shit man hed probably say that everything is gay ",2,2
houdini,eminem,hiphop,"if what if he could see the way shit is today 
look at this SHIT man hed probably say that everything is gay 
like happy whats my name whats my name ",2,2
houdini,eminem,hiphop,"so how many little kids still wanna act like me 
im a bigger PRICK than cacti be 
and thats why these words sting just like you were being attacked by bees ",3,3
houdini,eminem,hiphop,"identifies as black but acts chinese 
like a MOTHERFUCKIN hacky sack i treat the whole world cause i got it at my feet 
how can i explain to you ",2,2
houdini,eminem,hiphop,"and say a few things or two to anger you 
but FUCK that if i think that SHIT ima say that SHIT 
cancel me what okay thats it go ahead paul quit ",2,2
houdini,eminem,hiphop,"and say a few things or two to anger you 
but FUCK that if i think that SHIT ima say that SHIT 
cancel me what okay thats it go ahead paul quit ",2,2
houdini,eminem,hiphop,"cancel me what okay thats it go ahead paul quit 
snakeass PRICK you male crossdresser fakeass BITCH 
and ill probably get shit for that ",3,3
houdini,eminem,hiphop,"cancel me what okay thats it go ahead paul quit 
snakeass PRICK you male crossdresser fakeass BITCH 
and ill probably get shit for that ",3,3
houdini,eminem,hiphop,"snakeass prick you male crossdresser fakeass bitch 
and ill probably get SHIT for that 
watch but you can all suck my dick in fact ",3,3
houdini,eminem,hiphop,"and ill probably get shit for that 
watch but you can all suck my DICK in fact 
fuck them fuck dre fuck jimmy fuck me fuck you fuck my own kids theyre brats fuck em ",3,3
houdini,eminem,hiphop,"watch but you can all suck my dick in fact 
FUCK them FUCK dre FUCK jimmy FUCK me FUCK you FUCK my own kids theyre brats FUCK em 
they can screwoff them and you all ",3,3
houdini,eminem,hiphop,"they can screwoff them and you all 
you too paul got two BALLS big as rupauls what you thought you saw aint what you saw 
cause youre never gon see me ",2,0
bigenergy,missmulatto,hiphop,"when you gonna stop playin 
bad BITCH i could be your fantasy 
i can tell you got big dick energy ",1,1
bigenergy,missmulatto,hiphop,"bad bitch i could be your fantasy 
i can tell you got big DICK energy 
it aint too many niggas that can handle me ",1,1
bigenergy,missmulatto,hiphop,"i can tell you got big dick energy 
it aint too many NIGGAS that can handle me 
but i might let you try it off the hennessy ",2,2
bigenergy,missmulatto,hiphop,"but i might let you try it off the hennessy 
make em sang to this PUSSY like a melody 
and if your bitch aint right i got the remedy ",2,3
bigenergy,missmulatto,hiphop,"make em sang to this pussy like a melody 
and if your BITCH aint right i got the remedy 
it aint too many niggas that can handle me ",2,2
bigenergy,missmulatto,hiphop,"and if your bitch aint right i got the remedy 
it aint too many NIGGAS that can handle me 
bad bitch i could be your fantasy ",2,2
bigenergy,missmulatto,hiphop,"it aint too many niggas that can handle me 
bad BITCH i could be your fantasy 
tell me how you want it ",1,1
bigenergy,missmulatto,hiphop,"feel good dont it 
hood BITCH 
fuck you in a bonnet ",2,2
bigenergy,missmulatto,hiphop,"hood bitch 
FUCK you in a bonnet 
imma bust it on the pole like onyx ",2,2
bigenergy,missmulatto,hiphop,"im just being honest 
PUSSY juicy 
minute maid ",2,2
bigenergy,missmulatto,hiphop,"not a side or a main 
im the only BITCH he entertain 
spendin his ",2,2
bigenergy,missmulatto,hiphop,"on the count of three 
bad BITCHES get money 
broke niggas to the left we dont want it ",1,1
bigenergy,missmulatto,hiphop,"bad bitches get money 
broke NIGGAS to the left we dont want it 
im the one you bitches hate ",2,2
bigenergy,missmulatto,hiphop,"broke niggas to the left we dont want it 
im the one you BITCHES hate 
but they cant get past ",3,3
bigenergy,missmulatto,hiphop,"pretty face no waist 
and a big ol ASS ha 
bad bitch i could be your fantasy ",2,2
bigenergy,missmulatto,hiphop,"and a big ol ass ha 
bad BITCH i could be your fantasy 
i can tell you got big dick energy ",1,1
bigenergy,missmulatto,hiphop,"bad bitch i could be your fantasy 
i can tell you got big DICK energy 
it aint too many niggas that can handle me ",1,1
bigenergy,missmulatto,hiphop,"i can tell you got big dick energy 
it aint too many NIGGAS that can handle me 
but i might let you try it off the hennessy ",2,2
bigenergy,missmulatto,hiphop,"but i might let you try it off the hennessy 
make em sang to this PUSSY like a melody 
and if your bitch aint right i got the remedy ",2,2
bigenergy,missmulatto,hiphop,"make em sang to this pussy like a melody 
and if your BITCH aint right i got the remedy 
it aint too many niggas that can handle me ",2,2
bigenergy,missmulatto,hiphop,"and if your bitch aint right i got the remedy 
it aint too many NIGGAS that can handle me 
bad bitch i could be your fantasy ",2,2
bigenergy,missmulatto,hiphop,"it aint too many niggas that can handle me 
bad BITCH i could be your fantasy 
got that real big energy ",1,1
bigenergy,missmulatto,hiphop,"do it slow motion 
real BITCH 
them other hoes phoney ",1,1
bigenergy,missmulatto,hiphop,"cant skip foreplay 
kill the PUSSY cold case 
im a boss bitch ",2,2
bigenergy,missmulatto,hiphop,"kill the pussy cold case 
im a boss BITCH 
but tonight we do it your way ",1,1
bigenergy,missmulatto,hiphop,"on the count of three 
bad BITCHES get money 
broke niggas to the left we dont want it ",1,1
bigenergy,missmulatto,hiphop,"bad bitches get money 
broke NIGGAS to the left we dont want it 
if you ever see me broke ",2,2
bigenergy,missmulatto,hiphop,"with a big ol bag ha 
bad BITCH i could be your fantasy 
i can tell you got big dick energy ",1,1
bigenergy,missmulatto,hiphop,"bad bitch i could be your fantasy 
i can tell you got big DICK energy 
it aint too many niggas that can handle me ",1,1
bigenergy,missmulatto,hiphop,"i can tell you got big dick energy 
it aint too many NIGGAS that can handle me 
but i might let you try it off the hennessy ",2,2
bigenergy,missmulatto,hiphop,"but i might let you try it off the hennessy 
make em sang to this PUSSY like a melody 
and if your bitch aint right i got the remedy ",2,2
bigenergy,missmulatto,hiphop,"make em sang to this pussy like a melody 
and if your BITCH aint right i got the remedy 
it aint too many niggas that can handle me ",2,2
bigenergy,missmulatto,hiphop,"and if your bitch aint right i got the remedy 
it aint too many NIGGAS that can handle me 
bad bitch i could be your fantasy ",2,2
bigenergy,missmulatto,hiphop,"it aint too many niggas that can handle me 
bad BITCH i could be your fantasy 
got that real big energy ",1,1
rockstar,postmalone,hiphop,"tank god 
ayy ive been FUCKIN hoes and poppin pillies 
man i feel just like a rockstar star ",2,2
rockstar,postmalone,hiphop,"and they always be smokin like a rasta 
FUCKIN with me call up on a uzi 
and show up man them the shottas ",2,2
rockstar,postmalone,hiphop,"ayy act a fool on stage 
prolly leave my FUCKIN show in a cop car 
ayy shit was legendary ",2,2
rockstar,postmalone,hiphop,"prolly leave my fuckin show in a cop car 
ayy SHIT was legendary 
threw a tv out the window of the montage ",1,1
rockstar,postmalone,hiphop,"threw a tv out the window of the montage 
cocaine on the table liquor pourin dont give a DAMN 
dude your girlfriend is a groupie she just tryna get in ",2,2
rockstar,postmalone,hiphop,"tryna grab up from my pants 
hundred BITCHES in my trailer say they aint got a man 
and they all brought a friend ",2,2
rockstar,postmalone,hiphop,"yeah ayy 
ayy ayy ive been FUCKIN hoes and poppin pillies 
man i feel just like a rockstar star ",2,2
rockstar,postmalone,hiphop,"and they always be smokin like a rasta 
FUCKIN with me call up on a uzi 
and show up man them the shottas ",2,2
rockstar,postmalone,hiphop," 21 savage 
ive been in the hills FUCKIN superstars 
feelin like a popstar 21 21 21 ",2,2
rockstar,postmalone,hiphop,"feelin like a popstar 21 21 21 
drankin henny bad BITCHES jumpin in the pool 
and they aint got on no bra no bra ",1,1
rockstar,postmalone,hiphop,"green hundreds in my safe i got old racks old racks 
la BITCHES always askin where the coke at 
livin like a rockstar smash out on a cop car ",2,2
rockstar,postmalone,hiphop," post malone 
ayy ive been FUCKIN hoes and poppin pillies 
man i feel just like a rockstar star ",2,2
rockstar,postmalone,hiphop,"and they always be smokin like a rasta 
FUCKIN with me call up on a uzi 
and show up man them the shottas ",2,2
band4band,centralcee,hiphop,"we can go band for band 
FUCK that we can go m for m 
quarter mil for the maybach truck ",2,2
band4band,centralcee,hiphop,"i got jewels in the safe that i dont even wear 
uh broll do it for some shoes and some clothes youll see what HELL do for a necklace 
rari truck look like a spider its crawlin a dollar on just accessories damn ",0,0
band4band,centralcee,hiphop,"uh broll do it for some shoes and some clothes youll see what hell do for a necklace 
rari truck look like a spider its crawlin a dollar on just accessories DAMN 
she made me wanna go harder i like her whole aura i think im obsessed with her ",2,2
band4band,centralcee,hiphop,"they hit him up on his birthday did him the worst way he had a death wish 
i get right under they skin i dont even try i guess i cant help that SHIT 
ima have love for bro for life if we talk or not i step with him ",2,2
band4band,centralcee,hiphop,"we can go band for band 
FUCK that we can go m for m 
mama got a body like kim and em ",2,2
band4band,centralcee,hiphop,"we can go watch for watch from chain to chain the rings im him 
i done got rich but im still with the SHIT land in london and go to the ends 
we can go band for band ",2,2
band4band,centralcee,hiphop,"we can go band for band 
FUCK that we can go m for m 
quarter mil for the maybach truck ",2,2
circles,postmalone,hiphop,"you thought that it was special special 
but it was just the SEX though the SEX though 
and i still hear the echoes the echoes ",2,2
empirestateofmind,jayz,hiphop,"sitting courtside knicks and nets give me high fives 
NIGGA i be spiked out i could trip a referee 
tell by my attitude that im most definitely from ",2,2
empirestateofmind,jayz,hiphop,"lets hear it for new york you welcome og uh 
new york yeah new york uh i made you hot NIGGA 
catch me at the x with og at a yankee game ",2,2
empirestateofmind,jayz,hiphop,"catch me at the x with og at a yankee game 
SHIT i made the yankee hat more famous than a yankee can 
you should know i bleed blue but i aint a crip though ",2,2
empirestateofmind,jayz,hiphop,"you should know i bleed blue but i aint a crip though 
but i got a gang of NIGGAS walking with my clique though 
welcome to the melting pot corners where were selling rock ",2,2
empirestateofmind,jayz,hiphop,"welcome to the melting pot corners where were selling rock 
africa bambaataa SHIT home of the hiphop 
yellow cab gypsy cab dollar cab holler back ",2,2
letsgetitstarted,blackeyedpeas,hiphop,"cause when we be out girlies pull they weave out 
you wouldnt believe how we wow SHIT out 
burn it til its burned out turn it til its turned out ",2,2
firstclass,jackharlow,hiphop,"throw up the l 
SEX in the am 
uhhuh ",2,2
firstclass,jackharlow,hiphop,"throw up the l 
SEX in the am 
uhhuh ",2,2
firstclass,jackharlow,hiphop,"throw up the l 
SEX in the am 
uhhuh ",2,2
